Components,Edges
['(4478-3418)'],1
['(4478-4009)'],1
['(4478-4364)'],1
['(4478-5313)'],1
['(4478-5314)'],1
['(75-1142)'],1
['(75-1964)'],1
['(75-1965)'],1
['(75-1966)'],1
['(75-1967)'],1
['(759-2708)'],1
['(2709-518)'],1
['(2360-1062)'],1
['(3550-2744)'],1
['(571-2521)'],1
['(571-2522)'],1
['(2638-1061)'],1
['(2638-3821)'],1
['(4230-1106)'],1
['(3344-3894)'],1
['(3344-4688)'],1
['(707-115)'],1
['(707-1803)'],1
['(707-2641)'],1
['(707-2643)'],1
['(707-2644)'],1
['(3202-3488)'],1
['(3796-884)'],1
['(3796-2216)'],1
['(3796-4930)'],1
['(3818-1392)'],1
['(3818-4936)'],1
['(3003-1761)'],1
['(2871-1756)'],1
['(321-328)'],1
['(3247-2689)'],1
['(3247-4625)'],1
['(2871-3959)'],1
['(2871-4342)'],1
['(4343-1437)'],1
['(3223-2265)'],1
['(3223-3720)'],1
['(3223-4609)'],1
['(3223-4610)'],1
['(2554-2843)'],1
['(2554-3684)'],1
['(4167-1898)'],1
['(4167-2784)'],1
['(3858-2081)'],1
['(3858-2762)'],1
['(3858-4439)'],1
['(76-79)'],1
['(76-84)'],1
['(4441-3487)'],1
['(4441-3511)'],1
['(3823-3829)'],1
['(2148-2067)'],1
['(2148-3134)'],1
['(2148-3196)'],1
['(2148-3892)'],1
['(3893-3349)'],1
['(4940-3169)'],1
['(4940-3636)'],1
['(4940-5579)'],1
['(3823-4941)'],1
['(3823-4942)'],1
['(3823-4943)'],1
['(4441-5287)'],1
['(3858-4828)'],1
['(3858-4877)'],1
['(4102-2557)'],1
['(1529-2854)'],1
['(1529-3330)'],1
['(1529-3331)'],1
['(3333-2129)'],1
['(3333-3951)'],1
['(3333-4249)'],1
['(4676-524)'],1
['(4676-3050)'],1
['(4676-3780)'],1
['(4109-795)'],1
['(1174-1178)'],1
['(1174-1439)'],1
['(1174-3051)'],1
['(1172-1179)'],1
['(1172-1180)'],1
['(4109-2085)'],1
['(4109-3925)'],1
['(4109-4075)'],1
['(4183-5109)'],1
['(2666-4868)'],1
['(5154-1219)'],1
['(5154-3133)'],1
['(5154-5023)'],1
['(2952-2953)'],1
['(2952-3629)'],1
['(2952-4422)'],1
['(1765-839)'],1
['(1765-2477)'],1
['(4505-3456)'],1
['(3086-4505)'],1
['(4506-5316)'],1
['(3086-4506)'],1
['(3086-4507)'],1
['(3086-4509)'],1
['(1765-3185)'],1
['(3197-2556)'],1
['(2997-738)'],1
['(4444-770)'],1
['(4444-1744)'],1
['(4444-3852)'],1
['(4062-3334)'],1
['(4062-3672)'],1
['(4062-4871)'],1
['(4880-4333)'],1
['(4880-4395)'],1
['(4880-5295)'],1
['(5545-1384)'],1
['(5545-2386)'],1
['(1590-1886)'],1
['(104-2025)'],1
['(3369-104)'],1
['(1855-161)'],1
['(1193-4711)'],1
['(1193-5518)'],1
['(1193-5519)'],1
['(1193-5520)'],1
['(473-3205)'],1
['(413-2393)'],1
['(3309-413)'],1
['(27-1624)'],1
['(579-893)'],1
['(579-1682)'],1
['(11-12)'],1
['(11-16)'],1
['(11-19)'],1
['(3080-3679)'],1
['(4502-2537)'],1
['(4502-5331)'],1
['(5332-5731)'],1
['(1389-1391)'],1
['(1389-1395)'],1
['(4263-2628)'],1
['(4263-3177)'],1
['(2529-5159)'],1
['(2530-933)'],1
['(2530-1220)'],1
['(2530-3758)'],1
['(2530-4155)'],1
['(359-1334)'],1
['(2332-714)'],1
['(2332-2515)'],1
['(1167-1169)'],1
['(1167-1170)'],1
['(2690-4258)'],1
['(2690-4259)'],1
['(2690-4261)'],1
['(4033-4915)'],1
['(1891-538)'],1
['(1891-3166)'],1
['(3963-1664)'],1
['(3963-4022)'],1
['(3670-4540)'],1
['(3670-4870)'],1
['(3670-4882)'],1
['(654-2475)'],1
['(2069-1840)'],1
['(2069-3637)'],1
['(3988-2209)'],1
['(2391-3457)'],1
['(3933-45)'],1
['(3933-3995)'],1
['(3933-4361)'],1
['(4720-400)'],1
['(4720-4373)'],1
['(4720-5438)'],1
['(1519-561)'],1
['(1519-1120)'],1
['(1519-1422)'],1
['(4629-5328)'],1
['(4629-5391)'],1
['(3934-5088)'],1
['(3934-5889)'],1
['(483-1812)'],1
['(4754-483)'],1
['(1413-2640)'],1
['(2992-2995)'],1
['(634-2968)'],1
['(634-3112)'],1
['(634-5880)'],1
['(634-6131)'],1
['(3371-4707)'],1
['(3371-4708)'],1
['(634-6133)'],1
['(635-404)'],1
['(635-474)'],1
['(635-746)'],1
['(750-817)'],1
['(750-2294)'],1
['(750-2674)'],1
['(750-2675)'],1
['(750-2677)'],1
['(4438-812)'],1
['(4438-3617)'],1
['(3635-4873)'],1
['(4875-2408)'],1
['(1279-1993)'],1
['(1279-3128)'],1
['(1279-3130)'],1
['(1279-3131)'],1
['(1279-3132)'],1
['(2890-3794)'],1
['(2890-4368)'],1
['(2890-4397)'],1
['(2890-4398)'],1
['(4875-3395)'],1
['(1942-2853)'],1
['(576-2481)'],1
['(3171-4120)'],1
['(4206-5146)'],1
['(4213-2214)'],1
['(2463-2592)'],1
['(2463-3105)'],1
['(2463-3927)'],1
['(2463-4084)'],1
['(2463-4115)'],1
['(4293-54)'],1
['(2253-2552)'],1
['(2253-3949)'],1
['(2253-3950)'],1
['(4293-5193)'],1
['(4293-5194)'],1
['(5195-3782)'],1
['(3962-1122)'],1
['(1557-931)'],1
['(1557-943)'],1
['(1557-1558)'],1
['(1557-1560)'],1
['(1992-3764)'],1
['(4434-3932)'],1
['(4434-3983)'],1
['(4434-4757)'],1
['(680-630)'],1
['(680-1841)'],1
['(1843-2033)'],1
['(1843-3307)'],1
['(1005-2908)'],1
['(1005-2910)'],1
['(1081-512)'],1
['(1081-2978)'],1
['(1081-2979)'],1
['(1081-2980)'],1
['(1081-2981)'],1
['(1081-2983)'],1
['(2461-4044)'],1
['(3573-3602)'],1
['(3573-4834)'],1
['(3573-4835)'],1
['(1843-3574)'],1
['(1844-3585)'],1
['(3469-570)'],1
['(3469-1630)'],1
['(3469-2752)'],1
['(3469-4773)'],1
['(3469-4774)'],1
['(3587-4141)'],1
['(3305-3189)'],1
['(3524-2705)'],1
['(3235-542)'],1
['(3235-2726)'],1
['(3235-4621)'],1
['(3235-4622)'],1
['(3524-3583)'],1
['(3524-4802)'],1
['(4469-2126)'],1
['(4469-3917)'],1
['(4469-5308)'],1
['(4469-5309)'],1
['(4662-2891)'],1
['(4662-3595)'],1
['(4662-4770)'],1
['(4662-4848)'],1
['(4662-5392)'],1
['(4662-5411)'],1
['(5492-5475)'],1
['(5492-5767)'],1
['(5492-5841)'],1
['(5492-5842)'],1
['(5492-5843)'],1
['(5492-5844)'],1
['(218-220)'],1
['(218-221)'],1
['(1343-3195)'],1
['(1343-3198)'],1
['(225-2180)'],1
['(226-168)'],1
['(226-1114)'],1
['(2172-604)'],1
['(2172-2533)'],1
['(2172-2555)'],1
['(2172-3020)'],1
['(2569-3735)'],1
['(2569-4172)'],1
['(226-2175)'],1
['(300-304)'],1
['(305-838)'],1
['(305-1498)'],1
['(1850-2041)'],1
['(1850-3596)'],1
['(1850-3597)'],1
['(1850-3598)'],1
['(3599-3682)'],1
['(416-640)'],1
['(1002-1408)'],1
['(1440-2656)'],1
['(1440-3302)'],1
['(1440-3303)'],1
['(416-2327)'],1
['(416-2434)'],1
['(416-2435)'],1
['(416-2436)'],1
['(416-2437)'],1
['(416-2438)'],1
['(4447-4462)'],1
['(4921-2235)'],1
['(4921-4468)'],1
['(4447-5288)'],1
['(4852-5527)'],1
['(196-2120)'],1
['(196-2142)'],1
['(1545-1837)'],1
['(2143-1545)'],1
['(2143-2165)'],1
['(2143-2166)'],1
['(2143-3889)'],1
['(3890-2717)'],1
['(196-2144)'],1
['(2145-1407)'],1
['(3900-3416)'],1
['(4752-2063)'],1
['(3900-4916)'],1
['(3900-4989)'],1
['(3900-4990)'],1
['(2145-3901)'],1
['(2145-3902)'],1
['(4021-921)'],1
['(4021-2806)'],1
['(3866-2310)'],1
['(1506-1508)'],1
['(1506-1510)'],1
['(1506-1513)'],1
['(1506-1514)'],1
['(1506-1515)'],1
['(4057-2833)'],1
['(5066-523)'],1
['(5066-2155)'],1
['(1658-2880)'],1
['(1658-3410)'],1
['(3411-793)'],1
['(3411-2769)'],1
['(3411-4750)'],1
['(694-696)'],1
['(1974-3530)'],1
['(3149-2197)'],1
['(3149-4380)'],1
['(3149-4549)'],1
['(3149-4550)'],1
['(1974-3745)'],1
['(1974-3746)'],1
['(3747-3993)'],1
['(3747-4917)'],1
['(1974-3748)'],1
['(3127-2157)'],1
['(3127-2422)'],1
['(3127-4573)'],1
['(3127-4640)'],1
['(105-2019)'],1
['(2023-2152)'],1
['(4793-2445)'],1
['(4664-5434)'],1
['(4664-5435)'],1
['(5497-4652)'],1
['(5497-5845)'],1
['(5497-5846)'],1
['(5831-383)'],1
['(611-1500)'],1
['(611-2543)'],1
['(2544-4163)'],1
['(5831-1931)'],1
['(1889-1306)'],1
['(1889-3638)'],1
['(4539-5068)'],1
['(4539-5085)'],1
['(5572-206)'],1
['(787-792)'],1
['(787-794)'],1
['(5063-2006)'],1
['(599-564)'],1
['(599-601)'],1
['(599-603)'],1
['(5083-3402)'],1
['(5572-5879)'],1
['(4539-5868)'],1
['(5884-6040)'],1
['(4539-5884)'],1
['(1577-1578)'],1
['(4541-2661)'],1
['(4541-3721)'],1
['(3475-1554)'],1
['(3475-3717)'],1
['(4778-1345)'],1
['(1743-849)'],1
['(3500-4185)'],1
['(3500-4626)'],1
['(3140-3687)'],1
['(4068-4885)'],1
['(4068-4953)'],1
['(4068-5061)'],1
['(4068-5062)'],1
['(4159-4270)'],1
['(5361-4945)'],1
['(5352-3614)'],1
['(5352-4427)'],1
['(5361-5789)'],1
['(5361-5790)'],1
['(5361-5791)'],1
['(5793-436)'],1
['(2804-4311)'],1
['(5793-5837)'],1
['(5793-5983)'],1
['(5793-5984)'],1
['(5793-5985)'],1
['(5429-4961)'],1
['(5827-3964)'],1
['(5827-4614)'],1
['(5827-5323)'],1
['(6059-683)'],1
['(5827-6059)'],1
['(5794-5986)'],1
['(2883-2321)'],1
['(2883-4365)'],1
['(2883-4366)'],1
['(2883-4367)'],1
['(5987-4225)'],1
['(5987-6100)'],1
['(5987-6101)'],1
['(6102-1838)'],1
['(2503-397)'],1
['(3801-1592)'],1
['(3801-2476)'],1
['(3801-4131)'],1
['(3081-4278)'],1
['(3081-4503)'],1
['(3081-4504)'],1
['(4577-5365)'],1
['(3190-4578)'],1
['(3190-4579)'],1
['(3191-2335)'],1
['(3191-3339)'],1
['(3191-4580)'],1
['(3191-4581)'],1
['(1301-1348)'],1
['(1301-1351)'],1
['(5508-5856)'],1
['(5508-5857)'],1
['(5254-2308)'],1
['(1616-1595)'],1
['(1616-1619)'],1
['(1616-1621)'],1
['(1616-1622)'],1
['(1616-1623)'],1
['(4654-3141)'],1
['(4654-4655)'],1
['(4654-5852)'],1
['(4654-5954)'],1
['(4654-5955)'],1
['(5254-4998)'],1
['(5254-5594)'],1
['(5254-5732)'],1
['(6102-6280)'],1
['(6102-6281)'],1
['(5987-6103)'],1
['(5987-6104)'],1
['(5988-3677)'],1
['(5794-5989)'],1
['(5990-5628)'],1
['(5990-5913)'],1
['(5990-6109)'],1
['(6110-2117)'],1
['(645-2564)'],1
['(3009-1667)'],1
['(3009-4457)'],1
['(709-205)'],1
['(709-713)'],1
['(3010-4425)'],1
['(4449-757)'],1
['(4449-2151)'],1
['(5292-5766)'],1
['(4449-5293)'],1
['(4205-1501)'],1
['(5294-4205)'],1
['(5294-4939)'],1
['(704-702)'],1
['(2622-3076)'],1
['(1758-3520)'],1
['(3521-4794)'],1
['(3521-4795)'],1
['(3521-4796)'],1
['(4362-4286)'],1
['(4362-5242)'],1
['(4362-5243)'],1
['(4362-5244)'],1
['(1141-1949)'],1
['(3023-420)'],1
['(1184-2259)'],1
['(3023-1184)'],1
['(1994-1371)'],1
['(2226-1975)'],1
['(2226-2867)'],1
['(3607-4866)'],1
['(2597-3871)'],1
['(3429-1447)'],1
['(3429-2413)'],1
['(1994-3778)'],1
['(1994-3783)'],1
['(1994-3784)'],1
['(4459-2139)'],1
['(2425-354)'],1
['(4098-4118)'],1
['(2425-4099)'],1
['(2425-4100)'],1
['(2425-4101)'],1
['(4459-5017)'],1
['(4459-5150)'],1
['(4459-5302)'],1
['(4459-5303)'],1
['(3025-3221)'],1
['(3025-4473)'],1
['(3025-4474)'],1
['(3207-4591)'],1
['(1988-3768)'],1
['(4516-1988)'],1
['(4516-3777)'],1
['(4516-5333)'],1
['(4516-5334)'],1
['(4516-5335)'],1
['(1758-3523)'],1
['(1758-3525)'],1
['(3244-4627)'],1
['(68-1953)'],1
['(4628-2355)'],1
['(1138-2848)'],1
['(1138-3015)'],1
['(3016-995)'],1
['(3016-3070)'],1
['(3016-3740)'],1
['(3016-5324)'],1
['(3016-5325)'],1
['(499-501)'],1
['(499-502)'],1
['(499-506)'],1
['(1641-1097)'],1
['(1641-1643)'],1
['(1644-2040)'],1
['(2398-2792)'],1
['(2398-3019)'],1
['(2398-4087)'],1
['(3921-312)'],1
['(3921-897)'],1
['(2399-4085)'],1
['(2399-4086)'],1
['(1644-3162)'],1
['(3660-4772)'],1
['(4881-5672)'],1
['(3660-4881)'],1
['(4603-5381)'],1
['(3394-4603)'],1
['(4643-5342)'],1
['(5343-2780)'],1
['(481-947)'],1
['(5343-4675)'],1
['(5343-5781)'],1
['(5343-5782)'],1
['(4986-1038)'],1
['(4986-4262)'],1
['(4986-5588)'],1
['(5589-5407)'],1
['(5589-5449)'],1
['(4730-2844)'],1
['(4730-4273)'],1
['(3658-3094)'],1
['(3658-3473)'],1
['(3658-4879)'],1
['(4944-5581)'],1
['(4944-5582)'],1
['(4730-5231)'],1
['(4730-5453)'],1
['(1641-1645)'],1
['(1641-1646)'],1
['(3594-2747)'],1
['(4846-3062)'],1
['(4846-3064)'],1
['(4846-4339)'],1
['(4847-4251)'],1
['(4847-5526)'],1
['(3594-4849)'],1
['(3594-4850)'],1
['(3594-4851)'],1
['(3859-3618)'],1
['(4285-4007)'],1
['(536-1132)'],1
['(760-536)'],1
['(760-2026)'],1
['(760-2517)'],1
['(760-2687)'],1
['(760-2688)'],1
['(3738-3084)'],1
['(4081-5076)'],1
['(5183-4436)'],1
['(5183-4559)'],1
['(5183-5094)'],1
['(5183-5494)'],1
['(5183-5688)'],1
['(4285-5184)'],1
['(4285-5185)'],1
['(4285-5186)'],1
['(5187-3414)'],1
['(3296-2027)'],1
['(4204-3367)'],1
['(4204-5047)'],1
['(2288-3453)'],1
['(3791-2971)'],1
['(3791-4526)'],1
['(3791-4928)'],1
['(3791-4929)'],1
['(2288-3971)'],1
['(2288-3972)'],1
['(2288-3973)'],1
['(2288-3974)'],1
['(2288-3977)'],1
['(2288-3978)'],1
['(5131-4895)'],1
['(5131-5646)'],1
['(4204-5132)'],1
['(3296-4657)'],1
['(3742-4408)'],1
['(3742-4411)'],1
['(3296-4659)'],1
['(3296-4660)'],1
['(3296-4661)'],1
['(5065-4801)'],1
['(1192-1197)'],1
['(655-1032)'],1
['(1411-1416)'],1
['(1411-1418)'],1
['(655-2565)'],1
['(655-2567)'],1
['(1799-853)'],1
['(1799-1804)'],1
['(3087-4134)'],1
['(2546-2064)'],1
['(2546-4161)'],1
['(2546-4162)'],1
['(5270-3385)'],1
['(5270-4375)'],1
['(5270-5482)'],1
['(4420-5271)'],1
['(4510-4177)'],1
['(4510-5329)'],1
['(4510-5330)'],1
['(3087-4511)'],1
['(3087-4512)'],1
['(904-1790)'],1
['(904-2737)'],1
['(904-2793)'],1
['(2710-4272)'],1
['(5191-4129)'],1
['(5691-3481)'],1
['(5191-5691)'],1
['(5191-5692)'],1
['(5191-5693)'],1
['(5191-5694)'],1
['(4513-5336)'],1
['(4513-5337)'],1
['(3087-4514)'],1
['(5281-3118)'],1
['(5285-3440)'],1
['(4735-5473)'],1
['(5073-3083)'],1
['(5073-5624)'],1
['(5625-1863)'],1
['(5406-5803)'],1
['(5804-3345)'],1
['(5804-3702)'],1
['(5804-5992)'],1
['(5804-5993)'],1
['(4124-2636)'],1
['(4124-3404)'],1
['(3260-2470)'],1
['(3260-3601)'],1
['(3733-4910)'],1
['(3733-4911)'],1
['(3733-4912)'],1
['(4124-3806)'],1
['(4124-4687)'],1
['(4124-5087)'],1
['(6105-6179)'],1
['(5994-6105)'],1
['(5994-6106)'],1
['(5994-6107)'],1
['(5804-5996)'],1
['(5106-2005)'],1
['(5106-3238)'],1
['(5106-4934)'],1
['(5106-5639)'],1
['(5106-5640)'],1
['(4891-5550)'],1
['(4891-5551)'],1
['(5552-4812)'],1
['(5552-5405)'],1
['(5552-5873)'],1
['(5625-5912)'],1
['(5296-5398)'],1
['(5504-3293)'],1
['(5504-5121)'],1
['(5854-5556)'],1
['(5626-4632)'],1
['(5626-5910)'],1
['(5976-1952)'],1
['(5976-2417)'],1
['(3732-5796)'],1
['(3732-5823)'],1
['(5976-4668)'],1
['(5976-5086)'],1
['(6092-3022)'],1
['(5977-6007)'],1
['(6093-5269)'],1
['(6093-6166)'],1
['(6093-6172)'],1
['(6093-6173)'],1
['(5854-5979)'],1
['(5854-6032)'],1
['(5855-171)'],1
['(5735-1375)'],1
['(5956-2154)'],1
['(5956-2378)'],1
['(3851-850)'],1
['(2079-3851)'],1
['(2079-3853)'],1
['(2079-3854)'],1
['(3904-4091)'],1
['(3904-4718)'],1
['(3904-5000)'],1
['(3904-5001)'],1
['(4122-3153)'],1
['(380-1231)'],1
['(2950-4435)'],1
['(2314-2950)'],1
['(2314-3097)'],1
['(2314-5162)'],1
['(5163-4607)'],1
['(5163-5036)'],1
['(5272-2706)'],1
['(5272-5736)'],1
['(5272-5737)'],1
['(5163-5671)'],1
['(2314-5164)'],1
['(2678-2788)'],1
['(2678-3279)'],1
['(3897-4371)'],1
['(2634-4229)'],1
['(1673-3449)'],1
['(3462-4393)'],1
['(4761-4759)'],1
['(3462-4763)'],1
['(3462-4764)'],1
['(3462-4765)'],1
['(4766-1116)'],1
['(4766-5469)'],1
['(4766-5470)'],1
['(4252-4976)'],1
['(4253-5169)'],1
['(2678-4253)'],1
['(2678-4254)'],1
['(4255-3181)'],1
['(4255-5166)'],1
['(5167-3069)'],1
['(5167-3125)'],1
['(5167-4125)'],1
['(5167-5673)'],1
['(5167-5674)'],1
['(5168-5678)'],1
['(5168-5679)'],1
['(3571-4831)'],1
['(3571-4832)'],1
['(4833-3277)'],1
['(4833-5521)'],1
['(4833-5522)'],1
['(5680-4006)'],1
['(4193-2601)'],1
['(4193-3896)'],1
['(4332-5217)'],1
['(4332-5218)'],1
['(4332-5219)'],1
['(1691-3669)'],1
['(2424-1691)'],1
['(2424-1901)'],1
['(2231-2802)'],1
['(2231-3938)'],1
['(2231-3939)'],1
['(2231-3940)'],1
['(2231-3941)'],1
['(2231-3942)'],1
['(2424-2838)'],1
['(2424-2842)'],1
['(3771-286)'],1
['(2748-1066)'],1
['(2748-1140)'],1
['(2748-4153)'],1
['(573-2520)'],1
['(5202-1789)'],1
['(5202-2664)'],1
['(5202-2905)'],1
['(5202-3288)'],1
['(5202-3351)'],1
['(3479-3392)'],1
['(3479-4780)'],1
['(5202-3861)'],1
['(5202-4453)'],1
['(5775-5850)'],1
['(5775-6008)'],1
['(5775-6009)'],1
['(5775-6010)'],1
['(5775-6011)'],1
['(5321-5776)'],1
['(5202-5702)'],1
['(4300-5203)'],1
['(4300-5204)'],1
['(2748-4302)'],1
['(3771-4840)'],1
['(3771-4926)'],1
['(3771-4927)'],1
['(5378-3446)'],1
['(5432-2684)'],1
['(5432-4779)'],1
['(5432-5344)'],1
['(5432-5734)'],1
['(5432-5817)'],1
['(5378-5612)'],1
['(5378-5800)'],1
['(380-1236)'],1
['(5630-5914)'],1
['(5915-3954)'],1
['(6066-2008)'],1
['(6066-6086)'],1
['(6066-6154)'],1
['(6155-2487)'],1
['(6155-6230)'],1
['(6155-6231)'],1
['(6066-6156)'],1
['(4107-5079)'],1
['(4107-5080)'],1
['(4319-5210)'],1
['(5211-1597)'],1
['(5211-3021)'],1
['(4319-5212)'],1
['(5213-5501)'],1
['(5213-5705)'],1
['(5213-5706)'],1
['(6139-3837)'],1
['(6139-5765)'],1
['(6139-6197)'],1
['(6139-6198)'],1
['(6139-6199)'],1
['(6139-6200)'],1
['(6139-6201)'],1
['(6139-6202)'],1
['(6139-6203)'],1
['(6139-6204)'],1
['(6139-6205)'],1
['(6139-6206)'],1
['(6139-6207)'],1
['(6139-6208)'],1
['(6139-6209)'],1
['(6139-6210)'],1
['(6139-6211)'],1
['(6139-6212)'],1
['(6139-6213)'],1
['(6139-6214)'],1
['(6139-6215)'],1
['(6139-6216)'],1
['(6139-6217)'],1
['(6139-6218)'],1
['(6139-6219)'],1
['(6139-6220)'],1
['(6139-6221)'],1
['(6139-6222)'],1
['(6139-6223)'],1
['(6139-6224)'],1
['(6139-6225)'],1
['(6139-6226)'],1
['(6139-6227)'],1
['(6139-6228)'],1
['(5956-6082)'],1
['(5956-6083)'],1
['(5957-5715)'],1
['(5957-6084)'],1
['(5957-6085)'],1
['(5855-6033)'],1
['(5855-6034)'],1
['(5855-6035)'],1
['(5763-3992)'],1
['(5763-5719)'],1
['(5971-6091)'],1
['(5763-5971)'],1
['(5763-5972)'],1
['(5296-5764)'],1
['(5285-5748)'],1
['(5750-4287)'],1
['(5750-5963)'],1
['(5751-5168)' | '(5285-5751)'],2
['(5285-5752)'],1
['(5753-5368)'],1
['(5753-5966)'],1
['(5753-5967)'],1
['(5729-3275)'],1
['(5729-5756)'],1
['(2278-1997)'],1
['(2278-3968)'],1
['(2278-3969)'],1
['(2278-3970)'],1
['(5952-5815)'],1
['(5952-6080)'],1
['(5729-5953)'],1
['(5754-5920)'],1
['(5754-5964)'],1
['(5965-3388)'],1
['(5965-5514)'],1
['(2181-1873)'],1
['(2181-2697)'],1
['(2181-3204)'],1
['(3989-3908)'],1
['(3989-4677)'],1
['(5028-5353)'],1
['(5028-5605)'],1
['(6088-6027)'],1
['(6099-4893)'],1
['(6099-5714)'],1
['(2663-4247)'],1
['(1920-3685)'],1
['(1920-3686)'],1
['(5901-3906)'],1
['(5901-5415)'],1
['(5901-6054)'],1
['(5901-6055)'],1
['(1709-2291)'],1
['(2068-3741)'],1
['(6243-3243)'],1
['(6180-6243)'],1
['(3270-4150)'],1
['(3270-4642)'],1
['(6245-4985)'],1
['(5788-5546)'],1
['(6094-1006)'],1
['(2295-3082)'],1
['(6095-4363)'],1
['(1495-1496)'],1
['(5603-1495)'],1
['(509-2488)'],1
['(5603-4702)'],1
['(6095-6177)'],1
['(6095-6178)'],1
['(6175-5710)'],1
['(6094-6176)'],1
['(5982-3231)'],1
['(5982-5569)'],1
['(5982-6097)'],1
['(5982-6098)'],1
['(1694-3443)'],1
['(1694-3444)'],1
['(1694-3445)'],1
['(1694-3447)'],1
['(6171-4518)'],1
['(6171-6236)'],1
['(6089-6237)'],1
['(5965-6089)'],1
['(4583-5382)'],1
['(4583-5383)'],1
['(5016-5178)'],1
['(5016-5601)'],1
['(5657-5922)'],1
['(4826-5524)'],1
['(5065-5621)'],1
['(5065-5622)'],1
['(5187-5689)'],1
['(5187-5690)'],1
['(4285-5188)'],1
['(4285-5189)'],1
['(3859-4960)'],1
['(3859-4962)'],1
['(4280-4133)'],1
['(4280-4584)'],1
['(4280-5181)'],1
['(4337-2539)'],1
['(1859-3608)'],1
['(4151-5091)'],1
['(4338-4151)'],1
['(4338-5225)'],1
['(4340-5141)'],1
['(4340-5223)'],1
['(5224-1542)'],1
['(2892-4372)'],1
['(2892-4374)'],1
['(2892-4376)'],1
['(4490-5320)'],1
['(3470-4775)'],1
['(3470-4776)'],1
['(3470-4777)'],1
['(4628-5384)'],1
['(5385-5636)'],1
['(5385-5801)'],1
['(2622-3999)'],1
['(2622-4226)'],1
['(704-2623)'],1
['(5077-5634)'],1
['(5759-5230)'],1
['(5931-5686)'],1
['(5931-5999)'],1
['(5759-5968)'],1
['(5759-5969)'],1
['(5294-5760)'],1
['(5761-3018)'],1
['(5761-5050)'],1
['(5761-5567)'],1
['(5761-5826)'],1
['(5970-4756)'],1
['(5970-5627)'],1
['(5970-6090)'],1
['(5294-5762)'],1
['(3010-4450)'],1
['(3010-4451)'],1
['(2153-3909)'],1
['(2153-3911)'],1
['(3913-204)'],1
['(610-1990)'],1
['(610-2560)'],1
['(2562-3280)'],1
['(2562-4182)'],1
['(2562-4184)'],1
['(607-615)'],1
['(3913-1072)'],1
['(430-2416)'],1
['(1605-1381)'],1
['(1605-1606)'],1
['(1605-1609)'],1
['(4995-800)'],1
['(3433-3170)'],1
['(3433-4461)'],1
['(2158-3898)'],1
['(2158-3899)'],1
['(4995-3674)'],1
['(5291-5660)'],1
['(5291-5661)'],1
['(5291-5662)'],1
['(5291-5663)'],1
['(5291-5664)'],1
['(5291-5665)'],1
['(5291-5666)'],1
['(5291-5667)'],1
['(5291-5668)'],1
['(5291-5669)'],1
['(4995-5291)'],1
['(5590-5885)'],1
['(4452-5297)'],1
['(3011-4454)'],1
['(1139-3012)'],1
['(1139-3013)'],1
['(3024-4460)'],1
['(3441-4838)'],1
['(3441-4843)'],1
['(3531-3619)'],1
['(6110-5557)'],1
['(6110-6195)'],1
['(6196-6247)'],1
['(6196-6248)'],1
['(3819-3916)'],1
['(3819-4484)'],1
['(3819-4520)'],1
['(4914-5566)'],1
['(5794-5991)'],1
['(3140-4437)'],1
['(4782-3766)'],1
['(4782-5488)'],1
['(4782-5489)'],1
['(4783-1563)'],1
['(3500-4785)'],1
['(3500-4786)'],1
['(3500-4787)'],1
['(1743-3502)'],1
['(4778-5485)'],1
['(5486-5836)'],1
['(5486-5838)'],1
['(4739-3504)'],1
['(4739-5454)'],1
['(4739-5455)'],1
['(4158-5099)'],1
['(4158-5100)'],1
['(4158-5101)'],1
['(5102-4039)'],1
['(5102-5637)'],1
['(5102-5638)'],1
['(5831-3161)'],1
['(5831-5872)'],1
['(4058-2649)'],1
['(4058-5057)'],1
['(1091-1092)'],1
['(1091-1093)'],1
['(1091-1095)'],1
['(2821-4320)'],1
['(6123-4383)'],1
['(2136-3888)'],1
['(6124-2136)'],1
['(6124-4978)'],1
['(6124-6183)'],1
['(3225-3438)'],1
['(3225-4611)'],1
['(3225-4612)'],1
['(3225-4613)'],1
['(1377-3226)'],1
['(3767-4920)'],1
['(5811-4597)'],1
['(5535-5835)'],1
['(6125-6184)'],1
['(6125-6185)'],1
['(6186-5261)'],1
['(4738-2147)'],1
['(4738-5451)'],1
['(4806-5451)' | '(2267-4806)'],2
['(2267-6121)'],1
['(2267-6122)'],1
['(5824-5771)'],1
['(5824-5958)'],1
['(6125-6188)'],1
['(6012-6126)'],1
['(5831-6013)'],1
['(5831-6014)'],1
['(6015-1846)'],1
['(6015-1860)'],1
['(6015-6127)'],1
['(6016-3630)'],1
['(6016-6041)'],1
['(6016-6128)'],1
['(6016-6129)'],1
['(6016-6130)'],1
['(5831-6017)'],1
['(5831-6019)'],1
['(5831-6020)'],1
['(5831-6021)'],1
['(5831-6022)'],1
['(6023-5350)'],1
['(6134-3960)'],1
['(6023-6134)'],1
['(6023-6135)'],1
['(6023-6136)'],1
['(5459-5832)'],1
['(5459-5833)'],1
['(4741-5460)'],1
['(3407-4742)'],1
['(5066-5620)'],1
['(5067-5631)'],1
['(5067-5632)'],1
['(5067-5633)'],1
['(5623-2468)'],1
['(5623-5906)'],1
['(5907-4268)'],1
['(5907-5442)'],1
['(6063-275)'],1
['(6063-5216)'],1
['(5907-6064)'],1
