Components,Edges
['(251-513)'],1
['(1048-844)'],1
['(1048-973)'],1
['(1048-1049)'],1
['(1048-1050)'],1
['(1048-1051)'],1
['(1048-1052)'],1
['(1048-1053)'],1
['(1048-1054)'],1
['(257-69)'],1
['(253-219)'],1
['(253-254)'],1
['(253-255)'],1
['(253-256)'],1
['(253-258)'],1
['(253-259)'],1
['(253-260)'],1
['(253-262)'],1
['(17-2254)'],1
['(2761-222)'],1
['(325-82)'],1
['(325-1507)'],1
['(1573-224)'],1
['(584-585)'],1
['(584-587)'],1
['(572-818)'],1
['(979-35)'],1
['(979-119)'],1
['(979-612)'],1
['(92-2015)'],1
['(92-2016)'],1
['(21-92)'],1
['(21-1702)'],1
['(1711-2707)'],1
['(21-1711)'],1
['(21-1833)'],1
['(21-1916)'],1
['(247-776)'],1
['(247-900)'],1
['(1067-969)'],1
['(1067-1570)'],1
['(1067-2976)'],1
['(1067-2977)'],1
['(247-1067)'],1
['(1068-1688)'],1
['(1068-2972)'],1
['(1068-2973)'],1
['(2974-50)'],1
['(892-2200)'],1
['(892-2959)'],1
['(892-2960)'],1
['(424-940)'],1
['(424-960)'],1
['(424-2409)'],1
['(424-2410)'],1
['(2411-503)'],1
['(2411-944)'],1
['(2411-2077)'],1
['(162-163)'],1
['(162-164)'],1
['(102-1928)'],1
['(1968-476)'],1
['(955-690)'],1
['(955-711)'],1
['(955-781)'],1
['(908-648)'],1
['(908-942)'],1
['(908-1512)'],1
['(629-323)'],1
['(629-336)'],1
['(425-426)'],1
['(1426-799)'],1
['(667-152)'],1
['(667-459)'],1
['(667-468)'],1
['(667-1350)'],1
['(667-1956)'],1
['(2578-1775)'],1
['(250-51)'],1
['(243-2190)'],1
['(243-2191)'],1
['(243-2192)'],1
['(2193-3914)'],1
['(2193-3915)'],1
['(243-2194)'],1
['(244-1264)'],1
['(180-1489)'],1
['(180-1490)'],1
['(180-1524)'],1
['(1766-2218)'],1
['(1766-2370)'],1
['(1766-3680)'],1
['(1766-3681)'],1
['(180-1766)'],1
['(180-2130)'],1
['(180-2131)'],1
['(180-2132)'],1
['(2133-86)'],1
['(825-826)'],1
['(825-827)'],1
['(825-828)'],1
['(825-829)'],1
['(637-796)'],1
['(869-833)'],1
['(869-1195)'],1
['(1367-3218)'],1
['(869-1367)'],1
['(869-1762)'],1
['(869-2354)'],1
['(869-2380)'],1
['(869-2753)'],1
['(869-2754)'],1
['(869-2755)'],1
['(637-871)'],1
['(637-872)'],1
['(873-1227)'],1
['(804-778)'],1
['(805-57)'],1
['(241-2010)'],1
['(241-2186)'],1
['(241-2187)'],1
['(241-2188)'],1
['(528-241)'],1
['(528-529)'],1
['(528-530)'],1
['(532-1329)'],1
['(532-1330)'],1
['(528-532)'],1
['(533-1482)'],1
['(2498-819)'],1
['(2498-2502)'],1
['(334-268)'],1
['(334-376)'],1
['(334-843)'],1
['(334-1587)'],1
['(846-602)'],1
['(878-202)'],1
['(878-510)'],1
['(878-879)'],1
['(878-880)'],1
['(881-837)'],1
['(881-1511)'],1
